"Comment","Designator","Footprint","LCSC Part #"
"10uF","C2,C3,C8,C5,C6,C7,C9","C_0603_1608Metric","C19702"
"SM4007","D1,D3,D8,D7","D_SOD-123F","C64898"
"B120-E3","D2,D6","D_SMA","C2480"
"LED_ALT","D4","LED_0603_1608Metric","C72043"
"1N4148W","D5","D_SOD-323F","C2128"
"2N7002","Q1,Q2,Q3","SOT-23","C8545"
"10m","R1","R_0402_1005Metric","C26082"
"100k","R2,R9,R10","R_0402_1005Metric","C25741"
"1m","R3","R_0402_1005Metric","C26083"
"10","R5,R11,R12","R_0402_1005Metric","C25077"
"20k","R6,R13,R14","R_0402_1005Metric","C25765"
"1k","R7","R_0402_1005Metric","C11702"
"10k","R8,R4","R_0402_1005Metric","C25744"
"AMS1117-3.3","U1","SOT-223-3_TabPin2","C6186"
"AMS1117-5.0","U2","SOT-223-3_TabPin2","C6187"
"ATmega328P-AU","U3","TQFP-32_7x7mm_P0.8mm","C14877"
