Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10uF,C_0603_1608Metric,30.200000,-72.487500,90.000000,top
C3,10uF,C_0603_1608Metric,43.200000,-70.412500,90.000000,top
C5,10uF,C_0603_1608Metric,108.000000,-85.212500,270.000000,top
C6,10uF,C_0603_1608Metric,115.787500,-29.000000,0.000000,top
C7,10uF,C_0603_1608Metric,121.000000,-39.000000,270.000000,top
C8,10uF,C_0603_1608Metric,74.212500,-68.000000,180.000000,top
C9,10uF,C_0603_1608Metric,52.787500,-108.500000,0.000000,top
D1,SM4007,D_SOD-123F,43.200000,-74.200000,90.000000,top
D2,B120-E3,D_SMA,117.000000,-25.000000,180.000000,top
D3,SM4007,D_SOD-123F,115.000000,-32.500000,0.000000,top
D4,LED_ALT,LED_0603_1608Metric,64.787500,-68.000000,0.000000,top
D5,1N4148W,D_SOD-323F,66.000000,-76.500000,90.000000,top
D6,B120-E3,D_SMA,53.000000,-104.000000,90.000000,top
D7,SM4007,D_SOD-123F,88.000000,-109.000000,0.000000,top
D8,SM4007,D_SOD-123F,95.000000,-109.000000,0.000000,top
Q1,2N7002,SOT-23,109.750000,-35.750000,270.000000,top
Q2,2N7002,SOT-23,95.000000,-105.000000,180.000000,top
Q3,2N7002,SOT-23,88.000000,-105.000000,180.000000,top
R1,10m,R_0402_1005Metric,110.900000,-27.715000,270.000000,top
R2,100k,R_0402_1005Metric,108.900000,-27.715000,270.000000,top
R3,1m,R_0402_1005Metric,108.900000,-29.715000,270.000000,top
R4,10k,R_0402_1005Metric,110.900000,-29.715000,270.000000,top
R5,10,R_0402_1005Metric,108.900000,-39.700000,270.000000,top
R6,20k,R_0402_1005Metric,110.400000,-39.700000,270.000000,top
R7,1k,R_0402_1005Metric,68.485000,-68.000000,0.000000,top
R8,10k,R_0402_1005Metric,64.000000,-76.485000,270.000000,top
R9,100k,R_0402_1005Metric,41.000000,-102.000000,0.000000,top
R10,100k,R_0402_1005Metric,45.000000,-102.000000,0.000000,top
R11,10,R_0402_1005Metric,94.000000,-100.515000,270.000000,top
R12,10,R_0402_1005Metric,87.000000,-101.000000,270.000000,top
R13,20k,R_0402_1005Metric,92.000000,-105.000000,270.000000,top
R14,20k,R_0402_1005Metric,85.000000,-105.000000,270.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,36.350000,-72.700000,180.000000,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,116.000000,-39.000000,90.000000,top
U3,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,73.500000,-75.000000,0.000000,top
